기준년도,구,업종,3월(억원),4월(억원),5월(억원),6월(억원),7월(억원)
2019년,대덕구,휴게음식점,31,32.2,33,30.8,26.2
2020년,동구,건축관련업,8.7,7.9,9.9,6.8,6.7
2020년,동구,관광여행,0,0.1,0.2,0.2,0.1
2020년,동구,기타유통,0.4,0.5,0.5,0.4,0.4
2020년,동구,기타제조/도매,1,1.1,1.4,1.2,0.9
2020년,동구,레저/스포츠,5,7.3,16.2,11.2,6.2
2020년,동구,문화/취미,11.1,9.7,12.7,8.8,8.9
2020년,동구,미용,20.9,23.8,31,24.3,21.4
2020년,동구,사무기기,0.2,0.3,0.6,0.4,0.5
2020년,동구,소매,150.1,160.8,197.4,173.2,149.4
2020년,동구,수리서비스,0.1,0.1,0.2,0.1,
2020년,동구,숙박,2.9,2.8,3.3,3,2.6
2020년,동구,신변잡화,11.6,14.9,23.3,16.9,13.9
2020년,동구,연료판매,0.3,0.2,0.3,8.6,
2020년,동구,용역서비스,6.3,9.4,9.1,,5.8
2020년,동구,운송기구판매,,0.6,1.2,0.1,0.1
2020년,동구,유아교육기관,8.6,8.6,9.2,10.3,9.1
2020년,동구,유흥,2.5,2.8,3,2.6,2.8
2020년,동구,음식료품,28.4,29.9,33.8,26.9,29.2
2020년,동구,의료기관/제약,86,89.6,104.9,95.1,89.7
2020년,동구,의류,8.7,12.6,27.2,19.1,11.7
2020년,동구,일반음식점,163.7,200.1,252.8,202.1,187.6
2020년,동구,자동차정비/유지,20,22.8,25.2,23.8,20.8
2020년,동구,전자상거래,4.1,,,3.8,
2020년,동구,전자제품,1.4,3.2,2.3,3,2.2
2020년,동구,주방용품,0.3,0.4,0.9,0.3,0.2
2020년,동구,주유,22.7,19.3,18.7,16.5,15.5
2020년,동구,직물/침구류,2.3,3.5,8,5.3,3.2
2020년,동구,학습자재,1.5,1.6,2.3,2,1.8
2020년,동구,학원,0.7,2.2,2.8,2.6,0.7
2020년,동구,휴게음식점,35,41.1,51.8,47,40.6
2020년,중구,가구,7.1,7.2,12.9,5.8,4.5
2020년,중구,가례서비스,,,0.2,,
2020년,중구,건축관련업,4.6,8.6,9,5.6,4.3
2020년,중구,기타유통,0.6,0.7,1,,0.5
2020년,중구,기타제조/도매,0,0.4,0.1,0.4,0.1
2020년,중구,대형유통,52.2,79.3,104.4,80,53.9
2020년,중구,레저/스포츠,7,10.3,18.4,10.2,7.5
2020년,중구,문화/취미,5.5,7,10.6,5.7,5
2020년,중구,미용,20.9,24.7,32,25.4,20.3
2020년,중구,보험,,,0.1,,
2020년,중구,사무기기,0.3,0.6,0.8,1.2,0.3
2020년,중구,소매,108.3,112,126.3,113.6,105.6
2020년,중구,숙박,5.8,7.3,8.1,8,7.6
2020년,중구,신변잡화,5.5,7.7,15.7,8.5,6.5
2020년,중구,용역서비스,1.9,1.9,2.1,1.2,1
2020년,중구,운송기구판매,0.4,0.1,1.1,0.1,0.4
2020년,중구,유아교육기관,9,9,9.8,9.6,8.7
2020년,중구,유흥,6.4,9.1,11.2,9,8.5
2020년,중구,음식료품,30.9,36,41.3,28.9,28.2
2020년,중구,의료기관/제약,107,116.3,122.5,113.3,97.8
2020년,중구,의류,14.2,25.9,53.4,34.2,22.7
2020년,중구,일반음식점,249.3,305.6,372.3,291.8,266.3
2020년,중구,자동차정비/유지,16.5,18.2,22,21.5,18.4
2020년,중구,전자제품,0.2,2.4,3.2,3.9,6.2
2020년,중구,주방용품,0.1,0,0.3,0.9,0.8
2020년,중구,주유,39.6,31.1,32.6,33,29.7
2020년,중구,직물/침구류,0.2,0.1,3.2,1,0.3
2020년,중구,학습자재,2.5,2.1,2.5,2,2
2020년,중구,학원,4.8,6.2,8.3,6.8,3.9
2020년,중구,휴게음식점,74.3,93.4,111.9,89,82
2020년,서구,가구,3.2,7.7,11.6,4.6,3.3
2020년,서구,가례서비스,0.2,,0.4,,
2020년,서구,건축관련업,4.3,4.8,4.1,5,3.8
2020년,서구,기타유통,0.2,0.3,0.3,0.2,0.2
2020년,서구,기타제조/도매,1.6,1.8,2.5,2.3,1.7
2020년,서구,레저/스포츠,12,19.6,37.7,25.1,17.5
